glyph_name,ps_name,sort_final,sort_design,USV
idieresis,idieresis,206,177,00EF
eth,eth,207,178,00F0
ntilde,ntilde,208,179,00F1
ograve,ograve,209,180,00F2
oacute,oacute,210,181,00F3
ocircumflex,ocircumflex,211,182,00F4
otilde,otilde,212,183,00F5
odieresis,odieresis,213,184,00F6
divide,divide,214,185,00F7
oslash,oslash,215,186,00F8
ugrave,ugrave,216,187,00F9
uacute,uacute,217,188,00FA
ucircumflex,ucircumflex,218,189,00FB
udieresis,udieresis,219,190,00FC
yacute,yacute,220,191,00FD
thorn,thorn,221,192,00FE
ydieresis,ydieresis,222,193,00FF
dotlessi,dotlessi,223,194,0131
OE,OE,224,195,0152
oe,oe,225,196,0153
Scaron,Scaron,226,197,0160
scaron,scaron,227,198,0161
Ydieresis,Ydieresis,228,199,0178
Zcaron,Zcaron,229,200,017D
zcaron,zcaron,230,201,017E
florin,florin,231,202,0192
circumflex,circumflex,232,203,02C6
caron,caron,233,204,02C7
breve,breve,234,205,02D8
dotaccent,dotaccent,235,206,02D9
ring,ring,236,207,02DA
ogonek,ogonek,237,208,02DB
tilde,tilde,238,209,02DC
hungarumlaut,hungarumlaut,239,210,02DD
gravecomb,gravecomb,240,211,0300
gravecomb.case,gravecomb.case,241,692,
acutecomb,acutecomb,242,212,0301
acutecomb.case,acutecomb.case,243,693,
circumflexcomb,uni0302,244,213,0302
circumflexcomb.case,uni0302.case,245,694,
tildecomb,tildecomb,246,214,0303
tildecomb.case,tildecomb.case,247,695,
dieresiscomb,uni0308,248,215,0308
dieresiscomb.case,uni0308.case,249,696,
ringcomb,uni030A,250,216,030A
ringcomb.case,uni030A.case,251,697,
caroncomb,uni030C,252,217,030C
caroncomb.case,uni030C.case,253,698,
cedillacomb,uni0327,254,218,0327
cedillacomb.case,uni0327.case,255,699,
cgj,uni034F,256,219,034F
Omegagreek,uni03A9,257,220,03A9
pi,pi,258,221,03C0
om,uni0950,259,222,0950
udatta,uni0951,260,223,0951
anudatta,uni0952,261,224,0952
gravedeva,uni0953,262,225,0953
acutedeva,uni0954,263,226,0954
danda,uni0964,264,227,0964
dandadbl,uni0965,265,228,0965
spacingcandrabindu,uni0C80,266,229,0C80
candrabindu,uni0C81,267,230,0C81
anusvara,uni0C82,268,231,0C82
visarga,uni0C83,269,232,0C83
siddham,uni0C84,270,233,0C84
avowel,uni0C85,271,234,0C85
aavowel,uni0C86,272,235,0C86
ivowel,uni0C87,273,236,0C87
iivowel,uni0C88,274,237,0C88
uvowel,uni0C89,275,238,0C89
uuvowel,uni0C8A,276,239,0C8A
rvocalicvowel,uni0C8B,277,240,0C8B
rvocalicvowel.part,uni0C8B.part,278,742,
lvocalicvowel,uni0C8C,279,241,0C8C
lvocalicvowel.part,uni0C8C.part,280,743,
evowel,uni0C8E,281,242,0C8E
eevowel,uni0C8F,282,243,0C8F
aivowel,uni0C90,283,244,0C90
ovowel,uni0C92,284,245,0C92
oovowel,uni0C93,285,246,0C93
auvowel,uni0C94,286,247,0C94
ka,uni0C95,287,248,0C95
ka.base,uni0C95.base,288,656,
ka.sub,uni0C95.sub,289,749,
ka_ssa,uni0C950CB7,290,451,0C95_0CB7
ka_ssa.base,uni0C950CB7.base,291,452,
ka_ssa_aamatra,uni0C950CB70CBE,292,453,0C95_0CB7_0CBE
ka_ssa_imatra,uni0C950CB70CBF,293,491,0C95_0CB7_0CBF
ka_ssa_ematra,uni0C950CB70CC6,294,532,0C95_0CB7_0CC6
ka_ssa_aumatra,uni0C950CB70CCC,295,573,0C95_0CB7_0CCC
ka_ssa_virama,uni0C950CB70CCD,296,611,0C95_0CB7_0CCD
ka_aamatra,uni0C950CBE,297,454,0C95_0CBE
ka_imatra,uni0C950CBF,298,492,0C95_0CBF
ka_rvocalicmatra.below,uni0C950CC3.below,299,530,
ka_ematra,uni0C950CC6,300,533,0C95_0CC6
ka_aumatra,uni0C950CCC,301,574,0C95_0CCC
ka_virama,uni0C950CCD,302,612,0C95_0CCD
kha,uni0C96,303,249,0C96
kha.base,uni0C96.base,304,657,
kha.sub,uni0C96.sub,305,750,
kha_aamatra,uni0C960CBE,306,455,0C96_0CBE
kha_imatra,uni0C960CBF,307,493,0C96_0CBF
kha_ematra,uni0C960CC6,308,534,0C96_0CC6
kha_aumatra,uni0C960CCC,309,575,0C96_0CCC
kha_virama,uni0C960CCD,310,613,0C96_0CCD
ga,uni0C97,311,250,0C97
ga.base,uni0C97.base,312,658,
ga.sub,uni0C97.sub,313,751,
ga_aamatra,uni0C970CBE,314,456,0C97_0CBE
ga_imatra,uni0C970CBF,315,494,0C97_0CBF
ga_ematra,uni0C970CC6,316,535,0C97_0CC6
ga_aumatra,uni0C970CCC,317,576,0C97_0CCC
ga_virama,uni0C970CCD,318,614,0C97_0CCD
gha,uni0C98,319,251,0C98
gha.base,uni0C98.base,320,659,
gha.sub,uni0C98.sub,321,752,
gha_aamatra,uni0C980CBE,322,457,0C98_0CBE
gha_imatra,uni0C980CBF,323,495,0C98_0CBF
gha_ematra,uni0C980CC6,324,536,0C98_0CC6
gha_aumatra,uni0C980CCC,325,577,0C98_0CCC
gha_virama,uni0C980CCD,326,615,0C98_0CCD
nga,uni0C99,327,252,0C99
nga.altbase,uni0C99.altbase,328,655,
nga.sub,uni0C99.sub,329,753,
nga_aamatra,uni0C990CBE,330,458,0C99_0CBE
nga_ematra,uni0C990CC6,331,537,0C99_0CC6
nga_aumatra,uni0C990CCC,332,578,0C99_0CCC
nga_virama,uni0C990CCD,333,616,0C99_0CCD
ca,uni0C9A,334,253,0C9A
