glyph_name,ps_name,sort_final,sort_design,USV
oomatra.large,uni0CCB.large,620,708,
aumatra,uni0CCC,621,297,0CCC
aumatra.large,uni0CCC.large,622,709,
virama,uni0CCD,623,298,0CCD
virama.large,uni0CCD.large,624,710,
lengthmark,uni0CD5,625,299,0CD5
ailengthmark,uni0CD6,626,300,0CD6
nakaarapollu,uni0CDD,627,301,0CDD
fa,uni0CDE,628,302,0CDE
fa.sub,uni0CDE.sub,629,783,
fa_aamatra,uni0CDE0CBE,630,490,0CDE_0CBE
fa_imatra,uni0CDE0CBF,631,527,0CDE_0CBF
fa_ematra,uni0CDE0CC6,632,572,0CDE_0CC6
fa_aumatra,uni0CDE0CCC,633,610,0CDE_0CCC
fa_virama,uni0CDE0CCD,634,648,0CDE_0CCD
rrvocalicvowel,uni0CE0,635,303,0CE0
llvocalicvowel,uni0CE1,636,304,0CE1
lvocalicmatra,uni0CE2,637,305,0CE2
lvocalicmatra.alt,uni0CE2.alt,638,652,
llvocalicmatra,uni0CE3,639,306,0CE3
llvocalicmatra.alt,uni0CE3.alt,640,653,
zeroknda,uni0CE6,641,307,0CE6
oneknda,uni0CE7,642,308,0CE7
twoknda,uni0CE8,643,309,0CE8
threeknda,uni0CE9,644,310,0CE9
fourknda,uni0CEA,645,311,0CEA
fiveknda,uni0CEB,646,312,0CEB
sixknda,uni0CEC,647,313,0CEC
sevenknda,uni0CED,648,314,0CED
eightknda,uni0CEE,649,315,0CEE
nineknda,uni0CEF,650,316,0CEF
jihvamuliya,uni0CF1,651,317,0CF1
upadhmaniya,uni0CF2,652,318,0CF2
anusvaracomb,uni0CF3,653,319,0CF3
doublesvarita,uni1CDA,654,320,1CDA
vedictonekathakaanudatta,uni1CDC,655,321,1CDC
vedictonedotbelow,uni1CDD,656,322,1CDD
vedictonetwodotsbelow,uni1CDE,657,323,1CDE
vedictonethreedotsbelow,uni1CDF,658,324,1CDF
vedicsignjihvamuliya,uni1CF5,659,325,1CF5
enquad,uni2000,660,326,2000
emquad,uni2001,661,327,2001
enspace,uni2002,662,328,2002
emspace,uni2003,663,329,2003
threeperemspace,uni2004,664,330,2004
fourperemspace,uni2005,665,331,2005
sixperemspace,uni2006,666,332,2006
figurespace,uni2007,667,333,2007
punctuationspace,uni2008,668,334,2008
thinspace,uni2009,669,335,2009
hairspace,uni200A,670,336,200A
zwsp,uni200B,671,337,200B
zwnj,uni200C,672,338,200C
zwj,uni200D,673,339,200D
hyphentwo,uni2010,674,340,2010
nbhyphen,uni2011,675,341,2011
figuredash,figuredash,676,342,2012
endash,endash,677,343,2013
emdash,emdash,678,344,2014
horizontalbar,uni2015,679,345,2015
quoteleft,quoteleft,680,346,2018
quoteleft.latn,quoteleft.latn,681,733,
quoteright,quoteright,682,347,2019
quoteright.latn,quoteright.latn,683,734,
quotesinglbase,quotesinglbase,684,348,201A
quotedblleft,quotedblleft,685,349,201C
quotedblleft.latn,quotedblleft.latn,686,735,
quotedblright,quotedblright,687,350,201D
quotedblright.latn,quotedblright.latn,688,736,
quotedblbase,quotedblbase,689,351,201E
dagger,dagger,690,352,2020
daggerdbl,daggerdbl,691,353,2021
bullet,bullet,692,354,2022
ellipsis,ellipsis,693,355,2026
hyphenationpoint,uni2027,694,356,2027
lineseparator,uni2028,695,357,2028
paragraphseparator,uni2029,696,358,2029
nnbspace,uni202F,697,359,202F
perthousand,perthousand,698,360,2030
guilsinglleft,guilsinglleft,699,361,2039
guilsinglright,guilsinglright,700,362,203A
fraction,fraction,701,363,2044
wj,uni2060,702,364,2060
zerosuperior,uni2070,703,365,2070
foursuperior,uni2074,704,366,2074
fivesuperior,uni2075,705,367,2075
sixsuperior,uni2076,706,368,2076
sevensuperior,uni2077,707,369,2077
eightsuperior,uni2078,708,370,2078
ninesuperior,uni2079,709,371,2079
hyphensuperior,uni207B,710,372,207B
parenleftsuperior,uni207D,711,373,207D
parenrightsuperior,uni207E,712,374,207E
rupee,uni20A8,713,375,20A8
Euro,Euro,714,376,20AC
inrupee,uni20B9,715,377,20B9
trademark,trademark,716,378,2122
Ohm,Omega,717,379,2126
partialdiff,partialdiff,718,380,2202
Delta,Delta,719,381,2206
product,product,720,382,220F
summation,summation,721,383,2211
minus,minus,722,384,2212
divisionslash,uni2215,723,385,2215
bulletoperator,uni2219,724,386,2219
radical,radical,725,387,221A
infinity,infinity,726,388,221E
integral,integral,727,389,222B
approxequal,approxequal,728,390,2248
notequal,notequal,729,391,2260
lessequal,lessequal,730,392,2264
greaterequal,greaterequal,731,393,2265
ceilingleft,uni2308,732,394,2308
ceilingright,uni2309,733,395,2309
floorleft,uni230A,734,396,230A
floorright,uni230B,735,397,230B
cornerlefttop,uni231C,736,398,231C
cornerrighttop,uni231D,737,399,231D
cornerleftbottom,uni231E,738,400,231E
cornerrightbottom,uni231F,739,401,231F
openbox,uni2423,740,402,2423
lozenge,lozenge,741,403,25CA
dottedcircle,uni25CC,742,404,25CC
dottedcircle.alt,uni25CC.alt,743,654,
halfbracketlefttop,uni2E22,744,405,2E22
halfbracketrighttop,uni2E23,745,406,2E23
halfbracketleftbottom,uni2E24,746,407,2E24
halfbracketrightbottom,uni2E25,747,408,2E25
sidebearingleft,uniF130,748,409,F130
sidebearingright,uniF131,749,410,F131
fi,uniFB01,750,411,FB01
fl,uniFB02,751,412,FB02
VS1,uniFE00,752,413,FE00
VS2,uniFE01,753,414,FE01
VS3,uniFE02,754,415,FE02
VS4,uniFE03,755,416,FE03
VS5,uniFE04,756,417,FE04
VS6,uniFE05,757,418,FE05
VS7,uniFE06,758,419,FE06
VS8,uniFE07,759,420,FE07
VS9,uniFE08,760,421,FE08
VS10,uniFE09,761,422,FE09
VS11,uniFE0A,762,423,FE0A
VS12,uniFE0B,763,424,FE0B
VS13,uniFE0C,764,425,FE0C
VS14,uniFE0D,765,426,FE0D
VS15,uniFE0E,766,427,FE0E
VS16,uniFE0F,767,428,FE0F
zwnbsp,uniFEFF,768,429,FEFF
objectReplacementCharacter,uniFFFC,769,430,FFFC
replacementCharacter,uniFFFD,770,431,FFFD
HyphenMinus,HyphenMinus,771,432,
LftParen,LftParen,772,433,
MiddleDot,MiddleDot,773,434,
ModBeginHighTn,ModBeginHighTn,774,435,
ModBeginLowTn,ModBeginLowTn,775,436,
ModEndHighTn,ModEndHighTn,776,437,
ModEndLowTn,ModEndLowTn,777,438,
RtParen,RtParen,778,439,
_inherent,_inherent,779,440,
_widebase,_widebase,780,441,
_xmatra,_xmatra,781,442,
fourinferior,fourinferior,782,443,
jdotless,jdotless,783,444,
shortrr,shortrr,784,445,
twoinferior,twoinferior,785,446,
