CombGrave.LP,gravecomb.cap
CombAcute.LP,acutecomb.cap
CombCircum.LP,circumflexcomb.cap
CombTilde.LP,tildecomb.cap
CombDiaer.LP,dieresiscomb.cap
CombCaron.LP,caroncomb.cap
