glyph_name,ps_name,sort_final,sort_design,USV
odieresis,odieresis,206,184,00F6
divide,divide,207,185,00F7
oslash,oslash,208,186,00F8
ugrave,ugrave,209,187,00F9
uacute,uacute,210,188,00FA
ucircumflex,ucircumflex,211,189,00FB
udieresis,udieresis,212,190,00FC
yacute,yacute,213,191,00FD
thorn,thorn,214,192,00FE
ydieresis,ydieresis,215,193,00FF
dotlessi,dotlessi,216,194,0131
OE,OE,217,195,0152
oe,oe,218,196,0153
Scaron,Scaron,219,197,0160
scaron,scaron,220,198,0161
Ydieresis,Ydieresis,221,199,0178
Zcaron,Zcaron,222,200,017D
zcaron,zcaron,223,201,017E
florin,florin,224,202,0192
circumflex,circumflex,225,203,02C6
caron,caron,226,204,02C7
breve,breve,227,205,02D8
dotaccent,dotaccent,228,206,02D9
ring,ring,229,207,02DA
ogonek,ogonek,230,208,02DB
tilde,tilde,231,209,02DC
hungarumlaut,hungarumlaut,232,210,02DD
gravecomb,gravecomb,233,211,0300
gravecomb.cap,gravecomb.cap,234,687,
acutecomb,acutecomb,235,212,0301
acutecomb.cap,acutecomb.cap,236,688,
circumflexcomb,uni0302,237,213,0302
circumflexcomb.cap,uni0302.cap,238,689,
tildecomb,tildecomb,239,214,0303
tildecomb.cap,tildecomb.cap,240,690,
dieresiscomb,uni0308,241,215,0308
dieresiscomb.cap,uni0308.cap,242,691,
ringcomb,uni030A,243,216,030A
caroncomb,uni030C,244,217,030C
caroncomb.cap,uni030C.cap,245,692,
cedillacomb,uni0327,246,218,0327
cgj,uni034F,247,219,034F
Omegagreek,uni03A9,248,220,03A9
pi,pi,249,221,03C0
om,uni0950,250,222,0950
udatta,uni0951,251,223,0951
anudatta,uni0952,252,224,0952
gravedeva,uni0953,253,225,0953
acutedeva,uni0954,254,226,0954
danda,uni0964,255,227,0964
dandadbl,uni0965,256,228,0965
spacingcandrabindu,uni0C80,257,229,0C80
candrabindu,uni0C81,258,230,0C81
anusvara,uni0C82,259,231,0C82
visarga,uni0C83,260,232,0C83
siddham,uni0C84,261,233,0C84
avowel,uni0C85,262,234,0C85
aavowel,uni0C86,263,235,0C86
ivowel,uni0C87,264,236,0C87
iivowel,uni0C88,265,237,0C88
uvowel,uni0C89,266,238,0C89
uuvowel,uni0C8A,267,239,0C8A
rvocalicvowel,uni0C8B,268,240,0C8B
rvocalicvowel.part,uni0C8B.part,269,730,
lvocalicvowel,uni0C8C,270,241,0C8C
lvocalicvowel.part,uni0C8C.part,271,731,
evowel,uni0C8E,272,242,0C8E
eevowel,uni0C8F,273,243,0C8F
aivowel,uni0C90,274,244,0C90
ovowel,uni0C92,275,245,0C92
oovowel,uni0C93,276,246,0C93
auvowel,uni0C94,277,247,0C94
ka,uni0C95,278,248,0C95
ka.base,uni0C95.base,279,651,
ka.sub,uni0C95.sub,280,737,
ka_ssa,uni0C950CB7,281,446,0C95_0CB7
ka_ssa.base,uni0C950CB7.base,282,447,
ka_ssa_aamatra,uni0C950CB70CBE,283,448,0C95_0CB7_0CBE
ka_ssa_imatra,uni0C950CB70CBF,284,486,0C95_0CB7_0CBF
ka_ssa_ematra,uni0C950CB70CC6,285,527,0C95_0CB7_0CC6
ka_ssa_aumatra,uni0C950CB70CCC,286,568,0C95_0CB7_0CCC
ka_ssa_virama,uni0C950CB70CCD,287,606,0C95_0CB7_0CCD
ka_aamatra,uni0C950CBE,288,449,0C95_0CBE
ka_imatra,uni0C950CBF,289,487,0C95_0CBF
ka_rvocalicmatra.below,uni0C950CC3.below,290,525,
ka_ematra,uni0C950CC6,291,528,0C95_0CC6
ka_aumatra,uni0C950CCC,292,569,0C95_0CCC
ka_virama,uni0C950CCD,293,607,0C95_0CCD
kha,uni0C96,294,249,0C96
kha.base,uni0C96.base,295,652,
kha.sub,uni0C96.sub,296,738,
kha_aamatra,uni0C960CBE,297,450,0C96_0CBE
kha_imatra,uni0C960CBF,298,488,0C96_0CBF
kha_ematra,uni0C960CC6,299,529,0C96_0CC6
kha_aumatra,uni0C960CCC,300,570,0C96_0CCC
kha_virama,uni0C960CCD,301,608,0C96_0CCD
ga,uni0C97,302,250,0C97
ga.base,uni0C97.base,303,653,
ga.sub,uni0C97.sub,304,739,
ga_aamatra,uni0C970CBE,305,451,0C97_0CBE
ga_imatra,uni0C970CBF,306,489,0C97_0CBF
ga_ematra,uni0C970CC6,307,530,0C97_0CC6
ga_aumatra,uni0C970CCC,308,571,0C97_0CCC
ga_virama,uni0C970CCD,309,609,0C97_0CCD
gha,uni0C98,310,251,0C98
gha.base,uni0C98.base,311,654,
gha.sub,uni0C98.sub,312,740,
gha_aamatra,uni0C980CBE,313,452,0C98_0CBE
gha_imatra,uni0C980CBF,314,490,0C98_0CBF
gha_ematra,uni0C980CC6,315,531,0C98_0CC6
gha_aumatra,uni0C980CCC,316,572,0C98_0CCC
gha_virama,uni0C980CCD,317,610,0C98_0CCD
nga,uni0C99,318,252,0C99
nga.altbase,uni0C99.altbase,319,650,
nga.sub,uni0C99.sub,320,741,
nga_aamatra,uni0C990CBE,321,453,0C99_0CBE
nga_ematra,uni0C990CC6,322,532,0C99_0CC6
nga_aumatra,uni0C990CCC,323,573,0C99_0CCC
nga_virama,uni0C990CCD,324,611,0C99_0CCD
ca,uni0C9A,325,253,0C9A
ca.base,uni0C9A.base,326,655,
ca.sub,uni0C9A.sub,327,742,
ca_aamatra,uni0C9A0CBE,328,454,0C9A_0CBE
ca_imatra,uni0C9A0CBF,329,491,0C9A_0CBF
ca_ematra,uni0C9A0CC6,330,533,0C9A_0CC6
ca_aumatra,uni0C9A0CCC,331,574,0C9A_0CCC
ca_virama,uni0C9A0CCD,332,612,0C9A_0CCD
cha,uni0C9B,333,254,0C9B
cha.base,uni0C9B.base,334,656,
cha.sub,uni0C9B.sub,335,743,
cha_aamatra,uni0C9B0CBE,336,455,0C9B_0CBE
cha_imatra,uni0C9B0CBF,337,492,0C9B_0CBF
cha_ematra,uni0C9B0CC6,338,534,0C9B_0CC6
cha_aumatra,uni0C9B0CCC,339,575,0C9B_0CCC
cha_virama,uni0C9B0CCD,340,613,0C9B_0CCD
ja,uni0C9C,341,255,0C9C
ja.base,uni0C9C.base,342,657,
ja.sub,uni0C9C.sub,343,744,
ja_nya,uni0C9C0C9E,344,442,0C9C_0C9E
ja_nya.base,uni0C9C0C9E.base,345,443,
ja_nya_aamatra,uni0C9C0C9E0CBE,346,456,0C9C_0C9E_0CBE
ja_nya_imatra,uni0C9C0C9E0CBF,347,493,0C9C_0C9E_0CBF
ja_nya_ematra,uni0C9C0C9E0CC6,348,535,0C9C_0C9E_0CC6
ja_nya_aumatra,uni0C9C0C9E0CCC,349,576,0C9C_0C9E_0CCC
ja_nya_virama,uni0C9C0C9E0CCD,350,614,0C9C_0C9E_0CCD
ja_aamatra,uni0C9C0CBE,351,457,0C9C_0CBE
ja_imatra,uni0C9C0CBF,352,494,0C9C_0CBF
ja_ematra,uni0C9C0CC6,353,536,0C9C_0CC6
ja_aumatra,uni0C9C0CCC,354,577,0C9C_0CCC
ja_virama,uni0C9C0CCD,355,615,0C9C_0CCD
jha,uni0C9D,356,256,0C9D
jha.base,uni0C9D.base,357,658,
jha.noEbase,uni0C9D.noEbase,358,727,
jha.part,uni0C9D.part,359,732,
jha.regbase,uni0C9D.regbase,360,734,
jha.sub,uni0C9D.sub,361,745,
jha_aamatra,uni0C9D0CBE,362,458,0C9D_0CBE
jha_imatra,uni0C9D0CBF,363,495,0C9D_0CBF
jha_ematra,uni0C9D0CC6,364,537,0C9D_0CC6
jha_ematra.Obase,uni0C9D0CC6.Obase,365,538,
jha_aumatra,uni0C9D0CCC,366,578,0C9D_0CCC
jha_virama,uni0C9D0CCD,367,616,0C9D_0CCD
nya,uni0C9E,368,257,0C9E
nya.sub,uni0C9E.sub,369,746,
nya_aamatra,uni0C9E0CBE,370,459,0C9E_0CBE
nya_umatra,uni0C9E0CC1,371,523,0C9E_0CC1
nya_ematra,uni0C9E0CC6,372,539,0C9E_0CC6
nya_aumatra,uni0C9E0CCC,373,579,0C9E_0CCC
nya_virama,uni0C9E0CCD,374,617,0C9E_0CCD
tta,uni0C9F,375,258,0C9F
tta.base,uni0C9F.base,376,659,
tta.sub,uni0C9F.sub,377,747,
tta_aamatra,uni0C9F0CBE,378,460,0C9F_0CBE
tta_imatra,uni0C9F0CBF,379,496,0C9F_0CBF
tta_ematra,uni0C9F0CC6,380,540,0C9F_0CC6
tta_aumatra,uni0C9F0CCC,381,580,0C9F_0CCC
tta_virama,uni0C9F0CCD,382,618,0C9F_0CCD
ttha,uni0CA0,383,259,0CA0
ttha.base,uni0CA0.base,384,660,
ttha.sub,uni0CA0.sub,385,748,
ttha_aamatra,uni0CA00CBE,386,461,0CA0_0CBE
ttha_imatra,uni0CA00CBF,387,497,0CA0_0CBF
ttha_ematra,uni0CA00CC6,388,541,0CA0_0CC6
ttha_aumatra,uni0CA00CCC,389,581,0CA0_0CCC
ttha_virama,uni0CA00CCD,390,619,0CA0_0CCD
dda,uni0CA1,391,260,0CA1
dda.base,uni0CA1.base,392,661,
dda.sub,uni0CA1.sub,393,749,
dda_aamatra,uni0CA10CBE,394,462,0CA1_0CBE
dda_imatra,uni0CA10CBF,395,498,0CA1_0CBF
dda_ematra,uni0CA10CC6,396,542,0CA1_0CC6
dda_aumatra,uni0CA10CCC,397,582,0CA1_0CCC
dda_virama,uni0CA10CCD,398,620,0CA1_0CCD
ddha,uni0CA2,399,261,0CA2
ddha.base,uni0CA2.base,400,662,
ddha.sub,uni0CA2.sub,401,750,
ddha_aamatra,uni0CA20CBE,402,463,0CA2_0CBE
ddha_imatra,uni0CA20CBF,403,499,0CA2_0CBF
ddha_ematra,uni0CA20CC6,404,543,0CA2_0CC6
ddha_aumatra,uni0CA20CCC,405,583,0CA2_0CCC
ddha_virama,uni0CA20CCD,406,621,0CA2_0CCD
nna,uni0CA3,407,262,0CA3
nna.base,uni0CA3.base,408,663,
nna.sub,uni0CA3.sub,409,751,
nna_aamatra,uni0CA30CBE,410,464,0CA3_0CBE
nna_imatra,uni0CA30CBF,411,500,0CA3_0CBF
